,0
461,뿌리클 맛있어요ㆍ배달도 빨리왔습니다ㆍ너무급하게 맛있게 먹느라 상자랑 다먹은 사진만 있네요ㆍ
462,lk**
463, 2022년 3월 19일
464,신고
465,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
466,뿌링클순살/1(변경&추가(뿌링뿌링소스 추가))
467,항상 맛있게 먹고 있어요
468,gu**
469, 2022년 3월 19일
470,신고
471,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
472,뿌링클/1
473,#식후감 말있어요!!!
474,sy**
475, 2022년 3월 19일
476,신고
477,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
478,"뿌링클/1,후라이드/1,후라이드 반／양념 반/1"
479,역시 업계 1위 맛이에요
480,da**
481, 2022년 3월 19일
482,신고
483,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
484,포테킹 후라이드 콤보/1(옵션(콜라1.25L))
485,맛있게 잘 먹었습니다~
486,oo**
487, 2022년 3월 19일
488,신고
489,★★★★★ 맛 ★ 4 양 ★ 4 배달 ★ 4
490,핫후라이드/1
491,맛있습니다앙~~!~!~!
492,lk**
493, 2022년 3월 19일
494,신고
495,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
496,뿌링클순살/1(변경&추가(뿌링뿌링소스 추가))
497,항상 맛있게 먹고있어요
498,si**
499, 2022년 3월 19일
500,신고
501,★★★★★ 맛 ★ 4 양 ★ 5
502,뿌링클/1
503,뿌링클 잘먹었습니다.
504,ho**
505, 2022년 3월 19일
506,신고
507,★★★★★ 맛 ★ 5 양 ★ 5
508,골드킹/1
509,맛있게 잘 먹었어요!
510,yy**
511, 2022년 3월 18일
512,신고
513,★★★★★ 맛 ★ 5 양 ★ 5
514,핫후라이드/1
515,맛있어요! 매콤한 맛이 조금있지만
516,th**
517, 2022년 3월 18일
518,신고
519,★★★★★ 맛 ★ 5 양 ★ 5
520,맛초킹/1
521,오랜만에 맛초킹먹었는데 맛있네요
522,mm**
523, 2022년 3월 18일
524,신고
525,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
526,뿌링클/1
527,맛있게 잘먹었습니다
528,ki**
529, 2022년 3월 18일
530,신고
531,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
532,뿌링클 콤보＋치즈볼/1
533,맛있게 잘먹었습니다~~~~~~
534,47**
535, 2022년 3월 18일
536,신고
537,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
538,뿌링클（반）＋치즈볼/1
539,맛있어요~양도 많고 좋아해요.
540,na**
541, 2022년 3월 18일
542,신고
543,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
544,핫후라이드/1
545,맛있어요! 감사합니다!
546,wl**
547, 2022년 3월 17일
548,신고
549,★★★★★ 맛 ★ 5 양 ★ 5
550,골드킹/1
551,맛있긴한데 뿌링클 압승
552,08**
553, 2022년 3월 16일
554,신고
555,★★★★★ 맛 ★ 2 양 ★ 2
556,뿌링클HOT순살/1(옵션(콜라1.25L))
557,다른 지점에 비해 양이 많이 적게 느껴졌습니다 그리고 핫뿌링클 소스를 많이 아끼시는건가 육안으로도 소스가 현저히 적고 매운맛도 잘 안나네요
558,사장
559, 2022년 3월 16일
560,신고
561,고객
562, 소중한 리뷰 감사합니다. 시즈닝 적게 뿌려드리는 매장은 아닌데 만족못드려서 죄송합니다. 담에 주문 주시면 가루 많이 뿌려서 제공해드리도록 하겠습니다.
563,01**
564, 2022년 3월 16일
565,신고
566,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
567,뿌링클순살/1
568,맛있게 먹었습니다.
569,ni**
570, 2022년 3월 16일
571,신고
572,★★★★★ 맛 ★ 3 양 ★ 4 배달 ★ 3
573,"골드킹/1,레드킹/1"
574,한성대점이 주문이 안되어 성대점은 처음 시켰는데 튀김옷이 바삭하지 않아서 불만스러웠어요. 배달시간이 한시간으로 표시되어 황당했는데 그래도 40분쯤 걸려서 받아 다행이였습니다.
575,in**
576, 2022년 3월 16일
577,신고
578,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
579,핫후라이드/1
580,맛있게 잘먹었습니다
581,ge**
582, 2022년 3월 16일
583,신고
584,★★★★★ 맛 ★ 5 양 ★ 5
585,후라이드 반／양념 반/1
586,마싯어여 존맛존맛존맛
587,le**
588, 2022년 3월 16일
589,신고
590,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
591,후라이드/1(옵션(콜라1.25L))
592,맛있게 잘 먹었습니다^^
593,su**
594, 2022년 3월 15일
595,신고
596,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
597,후라이드 반／양념 반/1(옵션(콜라1.25L))
598,토요일 저녁되기전에 오후에 일찍 시키니 기름도 깨끗 너무너무 맛있어요 역대급 BHC 였습니다 ㅎㅎ
599,sk**
600, 2022년 3월 15일
601,신고
602,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
603,핫후라이드/1
604,너무 맛있어..다이어트는 내일 ...
605,jj**
606, 2022년 3월 14일
607,신고
608,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
609,핫후라이드/1
610,맛있게 잘 먹었습니다.
611,dn**
612, 2022년 3월 14일
613,신고
614,★★★★★ 맛 ★ 5 양 ★ 5
615,후라이드 반／양념 반/1
616,넘맛있어요ㅠ!! ㅎㅎ
617,nk**
618, 2022년 3월 13일
619,신고
620,★★★★★ 맛 ★ 5 양 ★ 5
621,뿌링클/1
622,뿌링클 가루도 짱많구 맛있게 잘 먹었습니다 ~
623,ga**
624, 2022년 3월 13일
625,신고
626,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
627,"맛초킹순살/1,뿌링감자/1"
628,맛있게 잘 먹었습니다
629,al**
630, 2022년 3월 13일
631,신고
632,★★★★★ 맛 ★ 5 양 ★ 5
633,맛초킹/1
634,나무 맛있어요!!!
635,hw**
636, 2022년 3월 13일
637,신고
638,★★★★★ 맛 ★ 5 양 ★ 4 배달 ★ 5
639,맛초킹/1
640,맛있어요 배달도 빠르네요
641,98**
642, 2022년 3월 13일
643,신고
644,★★★★★ 맛 ★ 4 양 ★ 5
645,골드킹 순살/1
646,양이 크고 맛도 좋고요 사장
647,의 태도 친절하네요
648,so**
649, 2022년 3월 12일
650,신고
651,★★★★★ 맛 ★ 5 양 ★ 5
652,뿌링클/1
653,매번 여기서만 먹어요! 양도 푸짐하고 맛있고 콜라까지👏👏
654,do**
655, 2022년 3월 12일
656,신고
657,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
658,"뿌링클순살/1,뿌링감자/1(옵션(콜라1.25L))"
659,항상 믿고 주문하는 집!! 배달도 빠르고 맛있지만 무엇보다 사장
660,이 친절하셔요
661,wn**
662, 2022년 3월 12일
663,신고
664,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
665,골드킹/1
666,배달도빠르고 너무 맛있어요 골드킹
667,ye**
668, 2022년 3월 12일
669,신고
670,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
671,뿌링클/1
672,요청사항도 잘들어주시고 맛있어요
673,ka**
674, 2022년 3월 12일
675,신고
676,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
677,뿌링클순살/1
678,순살인데 작은 뼈가 나왔어요ㅠㅠ 그거 제외하곤 다 좋습니당
679,zh**
680, 2022년 3월 12일
681,신고
682,★★★★★ 맛 ★ 5 양 ★ 5
683,후라이드 윙/1(디저트(케이준프라이))
684,완전히 맛있어요 ㅎㅎㅎ
685,yy**
686, 2022년 3월 11일
687,신고
688,★★★★★ 맛 ★ 3 양 ★ 5 배달 ★ 5
689,싸이순살/1(옵션(양념소스))
690,싸이순살..ㅠㅠ 별루
691,yo**
692, 2022년 3월 11일
693,신고
694,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
695,뿌링클순살/1(디저트(뿌링치즈볼))
696,성대점 최고 양많고 배달빠르고 뿌링클가루도 진짜듬뿍 뿌려주시는 최고의지점ㅜㅜㅜㅜㅜ
697,yr**
698, 2022년 3월 11일
699,신고
700,★★★★★ 맛 ★ 5 양 ★ 5
701,뿌링클/1
702,최고입니다.....
703,wn**
704, 2022년 3월 11일
705,신고
706,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
707,레드킹 윙/1
708,맛있게 잘먹었습니다!! 맛있어요
709,ha**
710, 2022년 3월 11일
711,신고
712,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
713,후라이드 반／양념 반/1
714,맛있게 잘 먹었습니다
715,ls**
716, 2022년 3월 11일
717,신고
718,★★★★★ 맛 ★ 5 양 ★ 5
719,뿌링클순살/1
720,정말 맛있었어요~~
721,na**
722, 2022년 3월 10일
723,신고
724,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
725,핫후라이드/1
726,정말 맛있어요!!!
727,po**
728, 2022년 3월 10일
729,신고
730,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
